t,v,r
460.000000,47870.000009,57909000007.811890
461.000000,47870.000009,57909000007.826057
462.000000,47870.000009,57909000007.840218
463.000000,47870.000009,57909000007.854355
464.000000,47870.000009,57909000007.868484
465.000000,47870.000009,57909000007.882614
466.000000,47870.000009,57909000007.896713
467.000000,47870.000009,57909000007.910805
468.000000,47870.000009,57909000007.924881
469.000000,47870.000009,57909000007.938957
470.000000,47870.000009,57909000007.953011
471.000000,47870.000009,57909000007.967056
472.000000,47870.000009,57909000007.981079
473.000000,47870.000009,57909000007.995110
474.000000,47870.000009,57909000008.009117
475.000000,47870.000009,57909000008.023102
476.000000,47870.000009,57909000008.037094
477.000000,47870.000009,57909000008.051064
478.000000,47870.000009,57909000008.065025
479.000000,47870.000009,57909000008.078972
480.000000,47870.000009,57909000008.092903
481.000000,47870.000009,57909000008.106834
482.000000,47870.000009,57909000008.120735
483.000000,47870.000009,57909000008.134636
484.000000,47870.000009,57909000008.148514
485.000000,47870.000009,57909000008.162407
486.000000,47870.000009,57909000008.176262
487.000000,47870.000009,57909000008.190109
488.000000,47870.000009,57909000008.203941
489.000000,47870.000009,57909000008.217773
490.000000,47870.000009,57909000008.231583
491.000000,47870.000009,57909000008.245384
492.000000,47870.000009,57909000008.259178
493.000000,47870.000009,57909000008.272949
494.000000,47870.000009,57909000008.286713
495.000000,47870.000009,57909000008.300461
496.000000,47870.000009,57909000008.314201
497.000000,47870.000009,57909000008.327927
498.000000,47870.000009,57909000008.341637
499.000000,47870.000009,57909000008.355347
500.000000,47870.000009,57909000008.369034
501.000000,47870.000009,57909000008.382713
502.000000,47870.000009,57909000008.396370
503.000000,47870.000009,57909000008.410034
504.000000,47870.000009,57909000008.423676
505.000000,47870.000009,57909000008.437302
506.000000,47870.000009,57909000008.450912
507.000000,47870.000010,57909000008.464531
508.000000,47870.000010,57909000008.478119
509.000000,47870.000010,57909000008.491692
510.000000,47870.000010,57909000008.505264
511.000000,47870.000010,57909000008.518822
512.000000,47870.000010,57909000008.532372
513.000000,47870.000010,57909000008.545891
514.000000,47870.000010,57909000008.559418
515.000000,47870.000010,57909000008.572922
516.000000,47870.000010,57909000008.586418
517.000000,47870.000010,57909000008.599899
518.000000,47870.000010,57909000008.613373
519.000000,47870.000010,57909000008.626831
520.000000,47870.000010,57909000008.640282
521.000000,47870.000010,57909000008.653717
522.000000,47870.000010,57909000008.667145
523.000000,47870.000010,57909000008.680557
524.000000,47870.000010,57909000008.693939
525.000000,47870.000010,57909000008.707329
526.000000,47870.000010,57909000008.720703
527.000000,47870.000010,57909000008.734070
528.000000,47870.000010,57909000008.747414
529.000000,47870.000010,57909000008.760750
530.000000,47870.000010,57909000008.774063
531.000000,47870.000010,57909000008.787384
532.000000,47870.000010,57909000008.800674
533.000000,47870.000010,57909000008.813972
534.000000,47870.000010,57909000008.827240
535.000000,47870.000010,57909000008.840508
536.000000,47870.000010,57909000008.853760
537.000000,47870.000010,57909000008.866997
538.000000,47870.000010,57909000008.880219
539.000000,47870.000010,57909000008.893433
540.000000,47870.000010,57909000008.906639
541.000000,47870.000010,57909000008.919830
542.000000,47870.000010,57909000008.933014
543.000000,47870.000010,57909000008.946175
544.000000,47870.000010,57909000008.959328
545.000000,47870.000010,57909000008.972466
546.000000,47870.000010,57909000008.985596
547.000000,47870.000010,57909000008.998718
548.000000,47870.000010,57909000009.011826
549.000000,47870.000010,57909000009.024902
550.000000,47870.000010,57909000009.037994
551.000000,47870.000010,57909000009.051056
552.000000,47870.000010,57909000009.064110
553.000000,47870.000010,57909000009.077148
